case_id,user_id,IP_id,BAddress_id,DAddress_id,device_id,amount,team_id,status,product_id,BIN_id
C1,U16289,IP8454,A9060,A9060,D3472,504.017,T11,S2,P546,BIN928
C2,U4899,IP2660,A5568,A5568,D7393,18.667,T179,S2,P454,BIN458
C3,U23754,IP4114,A4448,A4448,D5057,404.444,T30,S3,P4747,BIN793
C4,U20901,IP7101,A1253,A1253,D5942,680.086,T181,S3,P2584,BIN3
C5,U12572,IP8865,A9155,A9155,D3641,43.187,T101,S3,P172,BIN365
C6,U5293,IP3369,A9353,A9353,D6855,679.931,T14,S2,P1110,BIN680
C7,U3436,IP4526,A4624,A4624,D9763,879.91,T174,S1,P4236,BIN661
C8,U16429,IP2059,A6874,A6874,D6166,880.387,T70,S3,P1736,BIN215
C9,U23030,IP7834,A1989,A1989,D1538,462.098,T63,S3,P2647,BIN152
C10,U6835,IP8956,A7048,A4621,D1157,984.99,T9,S1,P4538,BIN259
C11,U8720,IP3753,A8007,A8007,D9016,988.646,T37,S1,P2515,BIN492
C12,U15496,IP1497,A8321,A8321,D881,496.98,T104,S3,P1428,BIN704
C13,U24878,IP3803,A7062,A7062,D5449,547.469,T98,S2,P43,BIN722
C14,U16828,IP3784,A8091,A8091,D9546,120.185,T10,S1,P1373,BIN731
C15,U17444,IP3802,A8084,A1107,D4381,961.327,T57,S3,P769,BIN225
C16,U5951,IP5838,A480,A480,D312,163.104,T110,S3,P2356,BIN568
C17,U13977,IP2472,A7652,A7652,D9990,756.35,T193,S1,P4755,BIN824
C18,U13915,IP3840,A9502,A9502,D5902,616.272,T8,S2,P54,BIN41
C19,U22488,IP5967,A1,A1,D3929,999.301,T64,S3,P3059,BIN628
C20,U22361,IP4927,A7961,A7961,D9055,577.529,T80,S3,P48,BIN803
C21,U13328,IP7572,A1264,A1264,D1661,142.407,T14,S1,P929,BIN331
C22,U5177,IP7064,A8693,A8693,D7144,884.519,T175,S2,P4157,BIN369
C23,U7038,IP2015,A831,A831,D2733,774.373,T18,S2,P3964,BIN329
C24,U4392,IP3636,A6776,A2268,D5796,290.728,T59,S3,P1845,BIN309
C25,U20144,IP9292,A2620,A8505,D4500,304.658,T55,S2,P4313,BIN215
C26,U13775,IP5932,A7498,A7498,D756,327.253,T120,S2,P4543,BIN267
C27,U13911,IP9379,A5417,A5417,D5642,340.351,T172,S3,P1559,BIN267
C28,U17886,IP9403,A6244,A6244,D2942,584.19,T97,S2,P225,BIN296
C29,U19121,IP1300,A5028,A5028,D1534,433.242,T74,S3,P3133,BIN546
C30,U1000,IP1565,A9381,A9381,D1032,273.279,T186,S3,P1539,BIN899
C31,U22320,IP3742,A4142,A2217,D6707,197.412,T157,S1,P3917,BIN213
C32,U2987,IP8303,A3516,A3516,D9364,362.058,T64,S3,P738,BIN451
C33,U4999,IP9742,A4616,A4616,D2659,611.816,T144,S3,P2602,BIN895
C34,U11832,IP8928,A8344,A8344,D6530,878.919,T80,S2,P1253,BIN272
C35,U1959,IP1196,A4111,A4111,D965,7.367,T197,S1,P523,BIN977
C36,U5486,IP9153,A2302,A2302,D4932,111.043,T102,S2,P3002,BIN847
C37,U11259,IP5309,A5930,A5930,D9836,215.974,T156,S3,P3236,BIN153
C38,U12751,IP826,A2416,A5162,D1832,817.246,T16,S1,P2997,BIN759
C39,U21508,IP1345,A574,A574,D5974,243.193,T92,S1,P3295,BIN497
C40,U21410,IP1005,A9479,A885,D3816,472.131,T56,S1,P4915,BIN100
