user_id,product_id,category_id
U4278,P86,C10
U4528,P52,C10
U9773,P3,C5
U1337,P7,C2
U1819,P48,C6
U6557,P79,C8
U4036,P43,C1
U1352,P61,C4
U8122,P21,C1
U8427,P14,C8
U9161,P90,C2
U2671,P53,C10
U6110,P5,C2
U3571,P76,C9
U3132,P18,C10
U928,P93,C3
U4948,P28,C2
U9957,P58,C4
U5757,P64,C5
U623,P100,C7
U8480,P1,C5
U4101,P51,C3
U648,P56,C1
U2641,P72,C9
U8832,P60,C2
U7064,P93,C3
U3029,P4,C5
U3710,P19,C7
U1231,P72,C9
U3220,P62,C4
U6909,P69,C4
U1140,P79,C8
U5267,P62,C4
U2451,P33,C4
U8936,P82,C9
U1845,P36,C6
U8579,P33,C4
U389,P60,C2
U6471,P68,C4
U9400,P3,C5
U1272,P86,C10
U9337,P52,C10
U4328,P18,C10
U6670,P79,C8
U3228,P81,C6
U4596,P15,C9
U7977,P6,C9
U4409,P7,C2
U1929,P65,C5
U7041,P10,C3
U1023,P25,C2
U8178,P30,C4
U5413,P26,C2
U3021,P84,C10
U1280,P4,C5
U6875,P90,C2
U3534,P80,C5
U6908,P94,C8
U2870,P19,C7
U6248,P97,C7
U841,P47,C9
U9964,P94,C8
U1414,P78,C3
U9870,P24,C9
U6068,P54,C3
U1568,P38,C7
U5640,P62,C4
U8222,P31,C2
U6485,P79,C8
U5321,P76,C9
U1474,P27,C6
U3761,P48,C6
U175,P67,C1
U3056,P71,C3
U4051,P53,C10
U6171,P59,C9
U5672,P73,C10
U4345,P76,C9
U8991,P37,C10
U7332,P58,C4
U6346,P85,C8
U7782,P41,C1
U6744,P98,C2
U9973,P17,C1
U6411,P4,C5
U2957,P29,C10
U2848,P9,C8
U7477,P35,C10
U6503,P32,C9
U8876,P5,C2
U2543,P18,C10
U4831,P89,C10
U9407,P98,C2
U5365,P68,C4
U333,P19,C7
U2336,P86,C10
U682,P58,C4
U8896,P66,C8
U3813,P84,C10
U4379,P99,C2
U4710,P6,C9
U3252,P3,C5
U6378,P69,C4
U5270,P94,C8
U3997,P78,C3
U8429,P27,C6
U5230,P71,C3
U2994,P10,C3
U8427,P59,C9
U8285,P2,C5
U9573,P90,C2
U9545,P11,C1
U1608,P84,C10
U8575,P67,C1
U8795,P86,C10
U3456,P10,C3
U3477,P73,C10
U2203,P46,C1
U2009,P100,C7
U6126,P27,C6
U1852,P65,C5
U7829,P74,C3
U8406,P9,C8
U8583,P13,C5
U790,P87,C1
U1244,P50,C7
U2529,P30,C4
U9440,P2,C5
U263,P65,C5
U6374,P83,C6
U9806,P38,C7
U7978,P100,C7
U9938,P53,C10
U4178,P67,C1
U5457,P70,C8
U8513,P54,C3
U9661,P91,C5
U3279,P7,C2
U4235,P57,C9
U3522,P56,C1
U607,P14,C8
U5680,P19,C7
U9375,P1,C5
U3348,P32,C9
U4010,P34,C6
U4626,P57,C9
U6595,P35,C10
U9737,P12,C10
U8887,P43,C1
U9326,P17,C1
U3013,P15,C9
U8938,P8,C10
U6235,P60,C2
U3057,P90,C2
U1463,P38,C7
U7662,P69,C4
U4796,P18,C10
U6957,P76,C9
U7831,P34,C6
U1786,P87,C1
U2700,P8,C10
U1767,P35,C10
U2759,P27,C6
U3373,P77,C8
U9,P63,C8
U3668,P19,C7
U9356,P87,C1
U6326,P7,C2
U9544,P76,C9
U8436,P80,C5
U5392,P46,C1
U4768,P100,C7
U7217,P79,C8
U185,P44,C3
U1851,P3,C5
U1120,P72,C9
U8555,P98,C2
U7113,P17,C1
U9719,P49,C4
U2773,P75,C4
U5080,P46,C1
U6889,P93,C3
U3377,P18,C10
U7218,P61,C4
U2803,P35,C10
U8563,P91,C5
U2107,P97,C7
U5577,P60,C2
U5196,P71,C3
U6233,P30,C4
U829,P31,C2
U3557,P81,C6
U4696,P38,C7
U2078,P88,C5
U7457,P46,C1
U7045,P22,C1
U58,P5,C2
U2829,P46,C1
U7008,P28,C2
U6794,P70,C8
U1684,P51,C3
U4271,P63,C8
U1968,P92,C1
U2936,P12,C10
U3423,P64,C5
U2942,P27,C6
U4304,P72,C9
U5444,P74,C3
U7290,P68,C4
U2842,P92,C1
U7005,P43,C1
U1058,P25,C2
U7049,P22,C1
U7665,P55,C5
U2058,P39,C4
U710,P42,C6
U7661,P60,C2
U5846,P99,C2
U7352,P50,C7
U3997,P53,C10
U242,P66,C8
U6526,P43,C1
U7176,P22,C1
U8894,P15,C9
U6347,P31,C2
U9456,P95,C6
U9696,P99,C2
U5550,P60,C2
U1160,P15,C9
U785,P3,C5
U61,P55,C5
U2758,P6,C9
U2490,P74,C3
U9731,P20,C8
U9657,P56,C1
U4491,P50,C7
U1318,P69,C4
U8177,P9,C8
U435,P17,C1
U1734,P8,C10
U132,P34,C6
U6404,P89,C10
U8172,P14,C8
U1814,P13,C5
U7236,P21,C1
U3366,P16,C8
U126,P31,C2
U3350,P50,C7
U8820,P6,C9
U9184,P76,C9
U568,P84,C10
U70,P57,C9
U5686,P45,C10
U858,P14,C8
U2385,P51,C3
U769,P8,C10
U8223,P12,C10
U9600,P84,C10
U4145,P25,C2
U5948,P57,C9
U1472,P63,C8
U9640,P61,C4
U9802,P11,C1
U3815,P46,C1
U1940,P45,C10
U3872,P83,C6
U2570,P24,C9
U9718,P98,C2
U9191,P35,C10
U1295,P13,C5
U5394,P84,C10
U3367,P24,C9
U8199,P68,C4
U4836,P36,C6
U7926,P40,C6
U7678,P83,C6
U2922,P33,C4
U5859,P32,C9
U3941,P62,C4
U1520,P10,C3
U7653,P11,C1
U3419,P13,C5
U3725,P93,C3
U6235,P26,C2
U297,P91,C5
U2165,P65,C5
U3130,P72,C9
U2367,P89,C10
U951,P6,C9
U2673,P75,C4
U4702,P68,C4
U8750,P61,C4
U9875,P49,C4
U1953,P99,C2
U6581,P68,C4
U816,P41,C1
U1290,P43,C1
U9890,P2,C5
U1714,P47,C9
U8789,P38,C7
U3294,P17,C1
U9475,P51,C3
U3327,P85,C8
U9304,P38,C7
U9643,P43,C1
U4778,P57,C9
U2574,P97,C7
U5895,P73,C10
U6125,P43,C1
U886,P51,C3
U824,P28,C2
U4795,P93,C3
U2851,P83,C6
U4235,P32,C9
U2121,P78,C3
U2538,P88,C5
U3877,P56,C1
U143,P11,C1
U1042,P46,C1
U957,P39,C4
U7289,P18,C10
U6707,P22,C1
U7359,P53,C10
U3357,P58,C4
U2117,P14,C8
U705,P1,C5
U1733,P6,C9
U2875,P38,C7
U3280,P83,C6
U1657,P11,C1
U5987,P9,C8
U327,P35,C10
U2112,P81,C6
U4766,P67,C1
U7426,P59,C9
U4217,P40,C6
U7976,P71,C3
U2130,P75,C4
U9135,P12,C10
U3,P37,C10
U5983,P13,C5
U4287,P78,C3
U7230,P90,C2
U9201,P49,C4
U6877,P15,C9
U947,P29,C10
U1620,P76,C9
U1447,P1,C5
U7782,P28,C2
U593,P64,C5
U9008,P61,C4
U4273,P63,C8
U6710,P31,C2
U3510,P74,C3
U5563,P100,C7
U5994,P57,C9
U9454,P92,C1
U1776,P91,C5
U2004,P7,C2
U6867,P82,C9
U4836,P98,C2
U2750,P27,C6
U5659,P14,C8
U2473,P61,C4
U3124,P33,C4
U9683,P96,C2
U2476,P53,C10
U1122,P22,C1
U2903,P66,C8
U4212,P39,C4
U6949,P34,C6
U4027,P96,C2
U3658,P86,C10
U721,P71,C3
U9426,P37,C10
U2961,P75,C4
U4922,P33,C4
U1782,P26,C2
U8394,P16,C8
U5164,P35,C10
U7937,P16,C8
U7267,P54,C3
U9975,P72,C9
U9392,P83,C6
U2483,P39,C4
U7077,P68,C4
U8077,P60,C2
U155,P5,C2
U9798,P68,C4
U8909,P88,C5
U6473,P88,C5
U9428,P43,C1
U2277,P50,C7
U7991,P73,C10
U8357,P8,C10
U6443,P29,C10
U2079,P63,C8
U5302,P52,C10
U9906,P26,C2
U6499,P43,C1
U3650,P35,C10
U4421,P79,C8
U1792,P30,C4
U9165,P7,C2
U9719,P18,C10
U4885,P56,C1
U6661,P74,C3
U4752,P100,C7
U6360,P66,C8
U1663,P56,C1
U1153,P93,C3
U5439,P68,C4
U352,P60,C2
U6216,P81,C6
U8240,P75,C4
U4107,P61,C4
U1251,P92,C1
U4497,P47,C9
U9343,P72,C9
U9540,P22,C1
U1351,P78,C3
U1183,P90,C2
U5979,P47,C9
U1462,P65,C5
U9020,P60,C2
U7474,P24,C9
U7558,P14,C8
U2603,P70,C8
U4757,P21,C1
U1857,P39,C4
U5335,P82,C9
U7923,P2,C5
U4796,P94,C8
U9390,P81,C6
U2485,P6,C9
U2980,P63,C8
U4040,P27,C6
U5235,P74,C3
U6841,P35,C10
U4454,P3,C5
U8702,P45,C10
U2488,P77,C8
U5881,P78,C3
U5891,P24,C9
U9145,P69,C4
U2631,P89,C10
U3259,P99,C2
U806,P39,C4
U5109,P79,C8
U9362,P92,C1
U2339,P48,C6
U3496,P56,C1
U8756,P24,C9
U2987,P73,C10
U5038,P38,C7
U5138,P45,C10
U5784,P71,C3
U3099,P75,C4
U3569,P4,C5
U9024,P14,C8
U1240,P15,C9
U1836,P90,C2
U8625,P30,C4
U4191,P56,C1
U4602,P5,C2
U8645,P93,C3
U6,P59,C9
U1085,P19,C7
U8192,P83,C6
U207,P49,C4
U4703,P22,C1
U6402,P47,C9
U4051,P18,C10
U5920,P1,C5
U3080,P39,C4
U6812,P25,C2
U7054,P83,C6
U194,P64,C5
U5935,P25,C2
U2848,P17,C1
U6191,P27,C6
U7674,P98,C2
U3945,P87,C1
U4954,P76,C9
U1735,P16,C8
U6485,P29,C10
U6277,P76,C9
U3397,P30,C4
U3296,P24,C9
U7611,P45,C10
U7014,P86,C10
U2552,P15,C9
U2678,P37,C10
U5575,P28,C2
U6426,P59,C9
U7946,P43,C1
U5841,P40,C6
U6766,P51,C3
U9101,P47,C9
U1339,P33,C4
U332,P4,C5
U6937,P78,C3
U2490,P67,C1
U5141,P49,C4
U8059,P100,C7
U8664,P54,C3
U7497,P2,C5
U2492,P67,C1
U8458,P57,C9
U2918,P64,C5
U7427,P31,C2
U3444,P40,C6
U3743,P28,C2
U6252,P56,C1
U2801,P3,C5
U871,P78,C3
U6229,P39,C4
U6592,P18,C10
U7347,P57,C9
U1948,P51,C3
U7496,P76,C9
U6124,P91,C5
U4825,P20,C8
U2371,P91,C5
U557,P9,C8
U9352,P55,C5
U7226,P52,C10
U806,P45,C10
U9128,P76,C9
U8042,P31,C2
U2395,P83,C6
U531,P48,C6
U2600,P92,C1
U2485,P54,C3
U3121,P19,C7
U3673,P62,C4
U1382,P44,C3
U256,P62,C4
U366,P25,C2
U1025,P27,C6
U4894,P74,C3
U9499,P61,C4
U441,P60,C2
U7028,P21,C1
U3706,P93,C3
U3645,P71,C3
U9670,P92,C1
